e_all	E_all	time(sec)
0.121299	0.132189	0.100000	0.017797
0.121236	0.132130	0.100000	0.017774
0.121173	0.132071	0.100000	0.017733
0.121111	0.132012	0.100000	0.017718
0.121049	0.131954	0.100000	0.017772
0.120988	0.131896	0.100000	0.017718
0.120927	0.131838	0.100000	0.017794
0.120866	0.131781	0.100000	0.017835
0.120806	0.131724	0.100000	0.017795
0.120746	0.131667	0.100000	0.017748
0.120687	0.131611	0.100000	0.017731
0.120628	0.131555	0.100000	0.017834
0.120569	0.131500	0.100000	0.017760
0.120511	0.131445	0.100000	0.017701
0.120453	0.131390	0.100000	0.017761
0.120395	0.131335	0.100000	0.018431
0.120338	0.131281	0.100000	0.021460
0.120281	0.131227	0.100000	0.017774
0.120224	0.131173	0.100000	0.017701
0.120168	0.131120	0.100000	0.017734
0.120112	0.131067	0.100000	0.017772
0.120057	0.131014	0.100000	0.017944
0.120002	0.130962	0.100000	0.017927
0.119947	0.130910	0.100000	0.017772
0.119892	0.130858	0.100000	0.017854
0.119838	0.130807	0.100000	0.017759
0.119784	0.130755	0.100000	0.017789
0.119731	0.130705	0.100000	0.017718
0.119677	0.130654	0.100000	0.017731
0.119625	0.130604	0.100000	0.017987
0.119572	0.130554	0.100000	0.017767
0.119520	0.130504	0.100000	0.017845
0.119468	0.130454	0.100000	0.017735
0.119416	0.130405	0.100000	0.017887
0.119365	0.130356	0.100000	0.017834
0.119314	0.130308	0.100000	0.017892
0.119263	0.130259	0.100000	0.017817
0.119213	0.130211	0.100000	0.017825
0.119162	0.130163	0.100000	0.017935
0.119112	0.130116	0.100000	0.017877
0.119063	0.130068	0.100000	0.017770
0.119014	0.130021	0.100000	0.017853
0.118965	0.129974	0.100000	0.017744
0.118916	0.129928	0.100000	0.017934
0.118867	0.129882	0.100000	0.017925
0.118819	0.129836	0.100000	0.017856
0.118771	0.129790	0.100000	0.017775
0.118724	0.129744	0.100000	0.017868
0.118676	0.129699	0.100000	0.017824
0.118629	0.129654	0.100000	0.017822
0.118582	0.129609	0.100000	0.017798
0.118536	0.129564	0.100000	0.017933
0.118490	0.129520	0.100000	0.017750
0.118444	0.129476	0.100000	0.017831
0.118398	0.129432	0.100000	0.017827
0.118352	0.129388	0.100000	0.017797
0.118307	0.129345	0.100000	0.017891
0.118262	0.129302	0.100000	0.017963
0.118217	0.129259	0.100000	0.017855
0.118173	0.129216	0.100000	0.017863
0.118128	0.129174	0.100000	0.017897
0.118084	0.129131	0.100000	0.017861
0.118041	0.129089	0.100000	0.017851
0.117997	0.129047	0.100000	0.018032
0.117954	0.129006	0.100000	0.017824
0.117911	0.128964	0.100000	0.017904
0.117868	0.128923	0.100000	0.017828
0.117825	0.128882	0.100000	0.017953
0.117783	0.128841	0.100000	0.017785
0.117741	0.128801	0.100000	0.018084
0.117699	0.128760	0.100000	0.017931
0.117657	0.128720	0.100000	0.017854
0.117616	0.128680	0.100000	0.017727
0.117574	0.128640	0.100000	0.017873
0.117533	0.128601	0.100000	0.017778
0.117493	0.128561	0.100000	0.018020
0.117452	0.128522	0.100000	0.017844
0.117412	0.128483	0.100000	0.017894
0.117372	0.128445	0.100000	0.017847
0.117332	0.128406	0.100000	0.017991
0.117292	0.128368	0.100000	0.017812
0.117252	0.128329	0.100000	0.017943
0.117213	0.128291	0.100000	0.017822
0.117174	0.128254	0.100000	0.017847
0.117135	0.128216	0.100000	0.017836
0.117096	0.128179	0.100000	0.017869
0.117058	0.128141	0.100000	0.017820
0.117020	0.128104	0.100000	0.017936
0.116982	0.128067	0.100000	0.017775
0.116944	0.128031	0.100000	0.017813
0.116906	0.127994	0.100000	0.017891
0.116869	0.127958	0.100000	0.017863
